HM,Peaks source,Percentage of reads in peaks,Peakcaller,Precision,Recall,SNR
h3k36me3,span,0.50%,sicer,100.00%,43.12%,12
h3k36me3,encode,10.00%,macs2,99.89%,60.16%,45
h3k36me3,encode,10.00%,span,98.02%,89.77%,45
h3k36me3,encode,10.00%,sicer,99.85%,75.51%,45
h3k36me3,encode,5.00%,macs2,99.96%,50.87%,35
h3k36me3,encode,5.00%,span,99.14%,81.15%,35
h3k36me3,encode,5.00%,sicer,99.92%,69.84%,35
h3k36me3,encode,1.00%,macs2,100.00%,16.96%,14
h3k36me3,encode,1.00%,span,99.67%,47.36%,14
h3k36me3,encode,1.00%,sicer,100.00%,40.62%,14
h3k36me3,encode,0.70%,span,99.38%,41.98%,11
h3k36me3,encode,0.70%,sicer,100.00%,30.04%,11
h3k36me3,encode,0.50%,span,96.72%,38.65%,9
h3k36me3,encode,0.50%,sicer,100.00%,17.75%,9
h3k4me3,span,10.00%,macs2,99.97%,49.71%,23
h3k4me3,span,10.00%,span,99.54%,61.06%,23
h3k4me3,span,10.00%,sicer,99.97%,58.42%,23
h3k4me3,span,5.00%,macs2,99.99%,32.76%,12
h3k4me3,span,5.00%,span,99.19%,50.76%,12
h3k4me3,span,5.00%,sicer,99.99%,47.29%,12
h3k4me3,span,1.00%,span,4.77%,26.53%,5
h3k4me3,span,1.00%,sicer,97.43%,0.93%,5
